au13,lma01,lma06,lma13,slma01,slma06,slma13
500100,1,1,1,1,1,1
500202,1,1,1,2,1,1
500203,1,1,1,2,1,1
500204,1,1,1,1,1,1
500205,1,1,1,1,1,1
500206,1,1,1,3,1,1
500207,1,1,1,1,1,1
500208,1,1,1,1,1,1
500301,1,1,1,1,1,1
500302,1,1,1,1,1,1
500401,1,1,1,4,2,2
500402,1,1,1,4,2,2
500500,1,1,1,5,3,3
500600,1,1,1,6,4,2
500700,1,1,1,6,4,2
500801,1,1,1,5,3,3
500802,1,1,1,6,4,2
500900,1,1,1,7,5,2
501000,1,1,1,8,6,4
501100,1,1,1,9,7,2
501200,1,1,1,9,7,2
501300,1,1,1,9,7,2
501400,1,1,1,8,6,4
501500,1,1,1,8,6,4
501612,1,1,1,9,7,2
501614,1,1,1,7,5,2
501615,1,1,1,7,5,2
501620,1,1,1,8,6,4
501631,1,1,1,10,4,2
501632,1,1,1,10,4,2
501633,1,1,1,7,5,2
501634,1,1,1,10,4,2
501700,1,1,1,10,4,2
501802,2,2,1,1,1,5
501806,2,2,1,2,2,6
501807,2,2,1,3,3,7
501809,2,2,1,4,4,5
501810,2,2,1,4,4,5
501811,2,2,1,2,2,6
501814,2,2,1,3,3,7
501815,2,2,1,2,2,6
501816,2,2,1,2,2,6
501817,2,2,1,5,5,5
501818,2,2,1,5,5,5
501819,2,2,1,5,5,5
502001,2,2,1,5,5,5
502002,2,2,1,5,5,5
502003,2,2,1,5,5,5
502004,2,2,1,5,5,5
502005,2,2,1,5,5,5
502101,2,2,1,5,5,5
502102,2,2,1,5,5,5
502201,2,2,1,5,5,5
502202,2,2,1,5,5,5
502300,2,2,1,5,5,5
502400,2,2,1,5,5,5
502500,2,2,1,5,5,5
502600,2,2,1,5,5,5
502700,2,2,1,5,5,5
502800,2,2,1,5,5,5
502900,2,2,1,5,5,5
503000,2,2,1,5,5,5
503100,2,2,1,5,5,5
503200,2,2,1,5,5,5
503300,2,2,1,5,5,5
503400,2,2,1,5,5,5
503500,2,2,1,5,5,5
503600,2,2,1,5,5,5
503700,2,2,1,5,5,5
503800,2,2,1,5,5,5
503900,2,2,1,5,5,5
504000,2,2,1,5,5,5
504100,2,2,1,5,5,5
504300,2,2,1,5,5,5
504400,2,2,1,6,6,8
504501,2,2,1,6,6,8
504502,2,2,1,6,6,8
504600,2,2,1,6,6,8
504700,2,2,1,7,7,9
504800,2,2,1,7,7,9
504900,2,2,1,7,7,9
505010,2,2,1,7,7,9
505021,2,2,1,7,7,9
505022,2,2,1,7,7,9
505300,2,2,2,8,8,1
505400,2,2,2,8,8,2
505500,2,2,2,8,8,3
505601,3,3,3,1,1,1
505602,3,3,3,1,1,1
505603,3,3,3,1,1,1
505604,3,3,3,1,1,1
505605,3,3,3,1,1,1
505700,3,3,3,1,1,1
505803,3,3,3,2,2,2
505804,3,3,3,2,2,2
505805,3,3,3,2,2,2
505806,3,3,3,2,2,2
505807,3,3,3,2,2,2
505808,3,3,3,2,2,2
505902,3,3,3,2,2,2
505904,3,3,3,2,2,2
505906,3,3,3,2,2,2
505907,3,3,3,2,2,2
505908,3,3,3,2,2,2
505909,3,3,3,2,2,2
505910,3,3,3,2,2,2
506001,3,3,3,2,2,2
506002,3,3,3,2,2,2
506003,3,3,3,2,2,2
506201,3,3,3,2,2,2
506202,3,3,3,2,2,2
506300,3,3,3,2,2,2
506400,3,3,3,1,2,2
506613,2,2,2,8,8,4
506614,3,3,3,2,2,2
506616,2,2,2,8,8,2
506620,2,2,4,9,8,1
506631,2,2,2,8,8,3
506633,2,2,2,8,8,3
506634,2,2,2,8,8,5
506642,3,3,3,1,1,1
506644,3,3,3,1,1,1
506645,3,3,3,1,1,1
506646,3,3,3,2,2,2
506647,3,3,3,2,2,2
506648,3,3,3,1,1,1
506652,3,3,3,1,1,1
506653,3,3,3,1,2,2
506654,3,3,3,1,1,1
506655,3,3,3,1,1,1
506656,3,3,3,1,1,1
506657,2,2,2,8,8,2
506658,2,2,2,8,8,6
