au13,year,lma,lma_stability,sub_lma,sub_lma_stability
500100,2001,1,1,1,1
500202,2001,1,1,2,0.82
500203,2001,1,1,2,0.82
500204,2001,1,1,1,1
500205,2001,1,1,1,1
500206,2001,1,1,3,0.816
500207,2001,1,1,1,0.82
500208,2001,1,1,1,1
500301,2001,1,1,1,1
500302,2001,1,1,1,1
500401,2001,1,1,4,1
500402,2001,1,1,4,1
500500,2001,1,1,5,1
500600,2001,1,1,6,1
500700,2001,1,1,6,1
500801,2001,1,1,5,1
500802,2001,1,1,6,1
500900,2001,1,1,7,1
501000,2001,1,1,8,1
501100,2001,1,1,9,1
501200,2001,1,1,9,1
501300,2001,1,1,9,1
501400,2001,1,1,8,1
501500,2001,1,1,8,1
501612,2001,1,1,9,1
501614,2001,1,1,7,1
501615,2001,1,1,7,1
501620,2001,1,1,8,1
501631,2001,1,1,10,1
501632,2001,1,1,10,1
501633,2001,1,1,7,1
501634,2001,1,1,10,1
501700,2001,1,1,10,1
501802,2001,2,1,1,0.956
501806,2001,2,1,2,1
501807,2001,2,1,3,0.972
501809,2001,2,1,4,0.924
501810,2001,2,1,4,0.924
501811,2001,2,1,2,1
501814,2001,2,1,3,0.972
501815,2001,2,1,2,1
501816,2001,2,1,2,1
501817,2001,2,1,5,0.868
501818,2001,2,1,5,1
501819,2001,2,1,5,0.932
502001,2001,2,1,5,1
502002,2001,2,1,5,1
502003,2001,2,1,5,1
502004,2001,2,1,5,1
502005,2001,2,1,5,1
502101,2001,2,1,5,1
502102,2001,2,1,5,1
502201,2001,2,1,5,1
502202,2001,2,1,5,1
502300,2001,2,1,5,1
502400,2001,2,1,5,1
502500,2001,2,1,5,1
502600,2001,2,1,5,1
502700,2001,2,1,5,1
502800,2001,2,1,5,1
502900,2001,2,1,5,1
503000,2001,2,1,5,1
503100,2001,2,1,5,1
503200,2001,2,1,5,1
503300,2001,2,1,5,1
503400,2001,2,1,5,1
503500,2001,2,1,5,1
503600,2001,2,1,5,1
503700,2001,2,1,5,1
503800,2001,2,1,5,1
503900,2001,2,1,5,1
504000,2001,2,1,5,1
504100,2001,2,1,5,1
504300,2001,2,1,5,1
