year,distance_km_threshold,flow_good_au13
2001,50,1365750
2001,100,15075
2001,150,4566
2001,200,2733
2001,250,1749
2001,300,1323
2001,350,1374
2001,400,1245
2001,450,789
2001,500,1848
2001,550,567
2001,600,294
2001,650,363
2001,700,297
2001,750,312
2001,800,744
2001,850,162
2001,900,222
2001,950,108
2001,1000,132
2001,1050,171
2001,1100,249
2001,1150,87
2001,1200,111
2001,1250,30
2001,1300,18
2001,1350,9
2006,50,1544718
2006,100,18240
2006,150,5364
2006,200,3177
2006,250,2235
2006,300,1662
2006,350,1713
2006,400,1662
2006,450,1128
2006,500,2355
2006,550,975
2006,600,471
2006,650,525
2006,700,561
2006,750,549
2006,800,1095
2006,850,276
2006,900,318
2006,950,387
2006,1000,255
2006,1050,318
2006,1100,375
2006,1150,138
2006,1200,201
2006,1250,39
2006,1300,36
2006,1350,15
2006,1400,0
2013,50,1666089
2013,100,25914
2013,150,8970
2013,200,4737
2013,250,3303
2013,300,2370
2013,350,2364
2013,400,2136
2013,450,1458
2013,500,3129
2013,550,1368
2013,600,492
2013,650,726
2013,700,855
2013,750,669
2013,800,930
2013,850,327
2013,900,420
2013,950,891
2013,1000,492
2013,1050,546
2013,1100,885
2013,1150,297
2013,1200,477
2013,1250,201
2013,1300,90
2013,1350,42
2013,1400,0
