au13,year,community_001,community_002,community_003,community_004,community_005,community_006,community_007,community_008,community_009,community_010,community_011,community_012,community_013,community_014,community_015,community_016,community_017,community_018,community_019,community_020,community_021,community_022,community_023,community_024,community_025,community_026,community_027,community_028,community_029,community_030,community_031,community_032,community_033,community_034,community_035,community_036,community_037,community_038,community_039,community_040,community_041,community_042,community_043,community_044,community_045,community_046,community_047,community_048,community_049,community_050,community_051,community_052,community_053,community_054,community_055,community_056,community_057,community_058,community_059,community_060,community_061,community_062,community_063,community_064,community_065,community_066,community_067,community_068,community_069,community_070,community_071,community_072,community_073,community_074,community_075,community_076,community_077,community_078,community_079,community_080,community_081,community_082,community_083,community_084,community_085,community_086,community_087,community_088,community_089,community_090,community_091,community_092,community_093,community_094,community_095,community_096,community_097,community_098,community_099,community_100,community_101,community_102,community_103,community_104,community_105,community_106,community_107,community_108,community_109,community_110,community_111,community_112,community_113,community_114,community_115,community_116,community_117,community_118,community_119,community_120,community_121,community_122,community_123,community_124,community_125,community_126,community_127,community_128,community_129,community_130,community_131,community_132,community_133,community_134,community_135,community_136,community_137,community_138,community_139,community_140,community_141,community_142,community_143,community_144,community_145,community_146,community_147,community_148,community_149,community_150,community_151,community_152,community_153,community_154,community_155,community_156,community_157,community_158,community_159,community_160,community_161,community_162,community_163,community_164,community_165,community_166,community_167,community_168,community_169,community_170,community_171,community_172,community_173,community_174,community_175,community_176,community_177,community_178,community_179,community_180,community_181,community_182,community_183,community_184,community_185,community_186,community_187,community_188,community_189,community_190,community_191,community_192,community_193,community_194,community_195,community_196,community_197,community_198,community_199,community_200,community_201,community_202,community_203,community_204,community_205,community_206,community_207,community_208,community_209,community_210,community_211,community_212,community_213,community_214,community_215,community_216,community_217,community_218,community_219,community_220,community_221,community_222,community_223,community_224,community_225,community_226,community_227,community_228,community_229,community_230,community_231,community_232,community_233,community_234,community_235,community_236,community_237,community_238,community_239,community_240,community_241,community_242,community_243,community_244,community_245,community_246,community_247,community_248,community_249,community_250
500100,2001,32,24,17,24,8,21,18,25,13,7,25,20,13,10,8,23,3,26,22,25,16,6,22,12,24,20,27,23,28,7,19,30,26,6,21,19,24,2,19,29,13,25,16,24,10,25,22,10,15,28,28,8,13,4,30,24,31,5,19,10,29,4,4,4,10,21,21,15,14,25,18,25,14,26,11,24,16,23,19,31,19,18,26,8,13,13,30,28,3,24,7,18,13,9,18,12,13,28,25,31,28,32,12,17,32,26,29,21,21,2,21,27,3,10,5,5,14,13,26,31,2,31,20,13,31,9,23,13,25,5,25,32,10,11,29,20,18,1,24,8,6,17,6,25,32,11,30,19,22,8,16,16,17,11,13,21,21,10,18,32,7,25,15,7,20,6,32,4,14,19,29,27,14,5,17,15,1,26,11,23,21,2,3,6,18,23,20,30,28,20,11,5,4,17,8,22,17,14,20,26,27,3,26,16,27,17,30,13,29,11,20,7,20,32,19,8,20,24,19,8,9,28,21,21,9,22,11,18,22,14,12,15,9,27,12,10,15,20,14,16,26,30,5,15,11,16,26,14,9,23
500100,2006,25,25,28,21,7,11,9,24,25,8,27,14,4,19,14,25,12,10,4,17,17,9,25,11,26,17,29,24,18,17,24,21,23,13,5,12,26,27,20,22,27,30,16,20,13,17,30,22,17,28,14,21,11,16,12,18,17,13,29,11,13,29,23,23,15,27,3,23,24,18,16,27,30,24,28,7,20,9,7,14,16,22,29,26,27,27,9,24,24,14,25,30,23,27,26,25,21,15,16,25,9,16,17,25,12,13,28,5,13,12,16,20,14,21,30,20,29,29,30,14,19,7,25,15,23,15,18,30,16,25,27,19,21,15,15,12,25,28,15,7,18,3,9,30,25,30,15,17,17,12,8,17,24,15,17,26,20,25,23,29,25,23,8,9,13,29,26,11,21,18,12,22,16,22,22,20,12,28,26,29,30,18,24,18,29,19,27,21,26,27,24,11,18,9,25,30,17,13,24,26,30,12,24,14,27,24,28,24,8,29,14,27,14,10,11,21,16,30,18,17,11,26,16,20,8,6,24,23,26,11,6,2,25,30,23,17,28,27,15,23,28,19,24,9,23,28,16,26,4,19
500100,2013,23,29,25,27,25,14,7,8,28,17,11,15,13,13,14,23,27,23,1,15,29,25,24,21,14,19,28,7,13,26,25,28,7,27,15,23,15,7,4,21,12,4,3,22,13,25,7,20,14,8,7,2,11,28,24,4,9,13,10,21,19,15,20,27,19,25,24,10,29,14,28,7,7,28,25,21,28,15,24,19,24,21,8,17,20,14,11,16,29,23,24,1,24,18,8,17,14,7,17,17,19,12,13,17,15,14,17,26,5,9,30,5,11,20,4,13,18,6,23,20,24,22,14,27,8,17,23,18,19,18,24,29,28,30,28,17,30,18,5,14,23,27,6,22,22,23,6,13,27,14,16,17,10,26,28,13,11,6,22,28,25,24,28,15,20,25,21,28,14,8,4,15,17,3,22,14,24,28,13,19,2,12,27,29,28,20,11,4,19,7,3,16,17,15,2,6,23,28,19,27,24,26,18,13,4,5,23,15,16,28,9,5,28,15,7,24,7,25,29,9,17,15,22,21,17,25,21,13,25,7,6,24,28,22,9,4,15,26,24,13,12,1,25,14,10,14,25,5,20,3
500202,2001,32,24,17,24,8,21,18,25,13,7,25,20,13,10,8,23,3,26,22,25,16,6,22,12,24,20,27,23,28,7,19,30,26,6,21,19,24,2,19,29,13,25,16,24,10,25,22,10,15,28,28,8,13,4,30,24,31,5,19,10,29,4,4,4,10,21,21,15,14,25,18,25,14,26,11,24,16,23,19,31,19,18,26,8,13,13,30,28,3,24,7,18,13,9,18,12,13,28,25,31,28,32,12,17,32,26,29,21,21,2,21,27,3,10,5,5,14,13,26,31,2,31,20,13,31,9,23,13,25,5,25,32,10,11,29,20,18,1,24,8,6,17,6,25,32,11,30,19,22,8,16,16,17,11,13,21,21,10,18,32,7,25,15,7,20,6,32,4,14,19,29,27,14,5,17,15,1,26,11,23,21,2,3,6,18,23,20,30,28,20,11,5,4,17,8,22,17,14,20,26,27,3,26,16,27,17,30,13,29,11,20,7,20,32,19,8,20,24,19,8,9,28,21,21,9,22,11,18,22,14,12,15,9,27,12,10,15,20,14,16,26,30,5,15,11,16,26,14,9,23
500202,2006,25,25,28,21,7,11,9,24,25,8,27,14,4,19,14,25,12,10,4,17,17,9,25,11,26,17,29,24,18,17,24,21,23,13,5,12,26,27,20,22,27,30,16,20,13,17,30,22,17,28,14,21,11,16,12,18,17,13,29,11,13,29,23,23,15,27,3,23,24,18,16,27,30,24,28,7,20,9,7,14,16,22,29,26,27,27,9,24,24,14,25,30,23,27,26,25,21,15,16,25,9,16,17,25,12,13,28,5,13,12,16,20,14,21,30,20,29,29,30,14,19,7,25,15,23,15,18,30,16,25,27,19,21,15,15,12,25,28,15,7,18,3,9,30,25,30,15,17,17,12,8,17,24,15,17,26,20,25,23,29,25,23,8,9,13,29,26,11,21,18,12,22,16,22,22,20,12,28,26,29,30,18,24,18,29,19,27,21,26,27,24,11,18,9,25,30,17,13,24,26,30,12,24,14,27,24,28,24,8,29,14,27,14,10,11,21,16,30,18,17,11,26,16,20,8,6,24,23,26,11,6,2,25,30,23,17,28,27,15,23,28,19,24,9,23,28,16,26,4,19
500202,2013,23,29,25,27,25,14,7,8,28,17,11,15,13,13,14,23,27,23,1,15,29,25,24,21,14,19,28,7,13,26,25,28,7,27,15,23,15,7,4,21,12,4,3,22,13,25,7,20,14,8,7,2,11,28,24,4,9,13,10,21,19,15,20,27,19,25,24,10,29,14,28,7,7,28,25,21,28,15,24,19,24,21,8,17,20,14,11,16,29,23,24,1,24,18,8,17,14,7,17,17,19,12,13,17,15,14,17,26,5,9,30,5,11,20,4,13,18,6,23,20,24,22,14,27,8,17,23,18,19,18,24,29,28,30,28,17,30,18,5,14,23,27,6,22,22,23,6,13,27,14,16,17,10,26,28,13,11,6,22,28,25,24,28,15,20,25,21,28,14,8,4,15,17,3,22,14,24,28,13,19,2,12,27,29,28,20,11,4,19,7,3,16,17,15,2,6,23,28,19,27,24,26,18,13,4,5,23,15,16,28,9,5,28,15,7,24,7,25,29,9,17,15,22,21,17,25,21,13,25,7,6,24,28,22,9,4,15,26,24,13,12,1,25,14,10,14,25,5,20,3
500203,2001,32,24,17,24,8,21,18,25,13,7,25,20,13,10,8,23,3,26,22,25,16,6,22,12,24,20,27,23,28,7,19,30,26,6,21,19,24,2,19,29,13,25,16,24,10,25,22,10,15,28,28,8,13,4,30,24,31,5,19,10,29,4,4,4,10,21,21,15,14,25,18,25,14,26,11,24,16,23,19,31,19,18,26,8,13,13,30,28,3,24,7,18,13,9,18,12,13,28,25,31,28,32,12,17,32,26,29,21,21,2,21,27,3,10,5,5,14,13,26,31,2,31,20,13,31,9,23,13,25,5,25,32,10,11,29,20,18,1,24,8,6,17,6,25,32,11,30,19,22,8,16,16,17,11,13,21,21,10,18,32,7,25,15,7,20,6,32,4,14,19,29,27,14,5,17,15,1,26,11,23,21,2,3,6,18,23,20,30,28,20,11,5,4,17,8,22,17,14,20,26,27,3,26,16,27,17,30,13,29,11,20,7,20,32,19,8,20,24,19,8,9,28,21,21,9,22,11,18,22,14,12,15,9,27,12,10,15,20,14,16,26,30,5,15,11,16,26,14,9,23
500203,2006,25,25,28,21,7,11,9,24,25,8,27,14,4,19,14,25,12,10,4,17,17,9,25,11,26,17,29,24,18,17,24,21,23,13,5,12,26,27,20,22,27,30,16,20,13,17,30,22,17,28,14,21,11,16,12,18,17,13,29,11,13,29,23,23,15,27,3,23,24,18,16,27,30,24,28,7,20,9,7,14,16,22,29,26,27,27,9,24,24,14,25,30,23,27,26,25,21,15,16,25,9,16,17,25,12,13,28,5,13,12,16,20,14,21,30,20,29,29,30,14,19,7,25,15,23,15,18,30,16,25,27,19,21,15,15,12,25,28,15,7,18,3,9,30,25,30,15,17,17,12,8,17,24,15,17,26,20,25,23,29,25,23,8,9,13,29,26,11,21,18,12,22,16,22,22,20,12,28,26,29,30,18,24,18,29,19,27,21,26,27,24,11,18,9,25,30,17,13,24,26,30,12,24,14,27,24,28,24,8,29,14,27,14,10,11,21,16,30,18,17,11,26,16,20,8,6,24,23,26,11,6,2,25,30,23,17,28,27,15,23,28,19,24,9,23,28,16,26,4,19
500203,2013,23,29,25,27,25,14,7,8,28,17,11,15,13,13,14,23,27,23,1,15,29,25,24,21,14,19,28,7,13,26,25,28,7,27,15,23,15,7,4,21,12,4,3,22,13,25,7,20,14,8,7,2,11,28,24,4,9,13,10,21,19,15,20,27,19,25,24,10,29,14,28,7,7,28,25,21,28,15,24,19,24,21,8,17,20,14,11,16,29,23,24,1,24,18,8,17,14,7,17,17,19,12,13,17,15,14,17,26,5,9,30,5,11,20,4,13,18,6,23,20,24,22,14,27,8,17,23,18,19,18,24,29,28,30,28,17,30,18,5,14,23,27,6,22,22,23,6,13,27,14,16,17,10,26,28,13,11,6,22,28,25,24,28,15,20,25,21,28,14,8,4,15,17,3,22,14,24,28,13,19,2,12,27,29,28,20,11,4,19,7,3,16,17,15,2,6,23,28,19,27,24,26,18,13,4,5,23,15,16,28,9,5,28,15,7,24,7,25,29,9,17,15,22,21,17,25,21,13,25,7,6,24,28,22,9,4,15,26,24,13,12,1,25,14,10,14,25,5,20,3
500204,2001,32,24,17,24,8,21,18,25,13,7,25,20,13,10,8,23,3,26,22,25,16,6,22,12,24,20,27,23,28,7,19,30,26,6,21,19,24,2,19,29,13,25,16,24,10,25,22,10,15,28,28,8,13,4,30,24,31,5,19,10,29,4,4,4,10,21,21,15,14,25,18,25,14,26,11,24,16,23,19,31,19,18,26,8,13,13,30,28,3,24,7,18,13,9,18,12,13,28,25,31,28,32,12,17,32,26,29,21,21,2,21,27,3,10,5,5,14,13,26,31,2,31,20,13,31,9,23,13,25,5,25,32,10,11,29,20,18,1,24,8,6,17,6,25,32,11,30,19,22,8,16,16,17,11,13,21,21,10,18,32,7,25,15,7,20,6,32,4,14,19,29,27,14,5,17,15,1,26,11,23,21,2,3,6,18,23,20,30,28,20,11,5,4,17,8,22,17,14,20,26,27,3,26,16,27,17,30,13,29,11,20,7,20,32,19,8,20,24,19,8,9,28,21,21,9,22,11,18,22,14,12,15,9,27,12,10,15,20,14,16,26,30,5,15,11,16,26,14,9,23
500204,2006,25,25,28,21,7,11,9,24,25,8,27,14,4,19,14,25,12,10,4,17,17,9,25,11,26,17,29,24,18,17,24,21,23,13,5,12,26,27,20,22,27,30,16,20,13,17,30,22,17,28,14,21,11,16,12,18,17,13,29,11,13,29,23,23,15,27,3,23,24,18,16,27,30,24,28,7,20,9,7,14,16,22,29,26,27,27,9,24,24,14,25,30,23,27,26,25,21,15,16,25,9,16,17,25,12,13,28,5,13,12,16,20,14,21,30,20,29,29,30,14,19,7,25,15,23,15,18,30,16,25,27,19,21,15,15,12,25,28,15,7,18,3,9,30,25,30,15,17,17,12,8,17,24,15,17,26,20,25,23,29,25,23,8,9,13,29,26,11,21,18,12,22,16,22,22,20,12,28,26,29,30,18,24,18,29,19,27,21,26,27,24,11,18,9,25,30,17,13,24,26,30,12,24,14,27,24,28,24,8,29,14,27,14,10,11,21,16,30,18,17,11,26,16,20,8,6,24,23,26,11,6,2,25,30,23,17,28,27,15,23,28,19,24,9,23,28,16,26,4,19
