au13,au13_desc,rc13,rc13_desc,ta13,ta13_desc
500100,Awanui,1,Northland Region,1,Far North District
500202,Karikari Peninsula-Maungataniwha,1,Northland Region,1,Far North District
500203,Taipa Bay-Mangonui,1,Northland Region,1,Far North District
500204,Herekino,1,Northland Region,1,Far North District
500205,Ahipara,1,Northland Region,1,Far North District
500206,North Cape,1,Northland Region,1,Far North District
500207,Houhora,1,Northland Region,1,Far North District
500208,Motutangi-Kareponia,1,Northland Region,1,Far North District
500301,Kaitaia West,1,Northland Region,1,Far North District
500302,Kaitaia East,1,Northland Region,1,Far North District
500401,Kaeo,1,Northland Region,1,Far North District
500402,Mangapa-Matauri Bay,1,Northland Region,1,Far North District
500500,Kohukohu,1,Northland Region,1,Far North District
500600,Rawene,1,Northland Region,1,Far North District
500700,Omapere and Opononi,1,Northland Region,1,Far North District
500801,Hokianga North,1,Northland Region,1,Far North District
500802,Hokianga South,1,Northland Region,1,Far North District
500900,Kerikeri,1,Northland Region,1,Far North District
501000,Russell,1,Northland Region,1,Far North District
501100,Paihia,1,Northland Region,1,Far North District
501200,Haruru Falls,1,Northland Region,1,Far North District
501300,Opua East,1,Northland Region,1,Far North District
501400,Kawakawa,1,Northland Region,1,Far North District
501500,Moerewa,1,Northland Region,1,Far North District
501612,Opua West,1,Northland Region,1,Far North District
501613,Bay of Islands,1,Northland Region,1,Far North District
501614,Kapiro,1,Northland Region,1,Far North District
501615,Waitangi,1,Northland Region,1,Far North District
501620,Pokere-Waihaha,1,Northland Region,1,Far North District
501631,Okaihau,1,Northland Region,1,Far North District
501632,Ohaeawai,1,Northland Region,1,Far North District
501633,Waihou Valley-Hupara,1,Northland Region,1,Far North District
501634,Ngapuhi-Kaikou,1,Northland Region,1,Far North District
501700,Kaikohe,1,Northland Region,1,Far North District
501802,Opouteke-Tanekaha,1,Northland Region,2,Whangarei District
501806,Marsden Point-Ruakaka,1,Northland Region,2,Whangarei District
501807,Ngunguru,1,Northland Region,2,Whangarei District
501809,Wharekohe-Oakleigh,1,Northland Region,2,Whangarei District
501810,Maungatapere,1,Northland Region,2,Whangarei District
501811,Waiotira-Springfield,1,Northland Region,2,Whangarei District
501813,Whangaruru Harbour,1,Northland Region,2,Whangarei District
501814,Punaruku-Kiripaka,1,Northland Region,2,Whangarei District
501815,Bream Bay,1,Northland Region,2,Whangarei District
501816,Waipu,1,Northland Region,2,Whangarei District
501817,Pataua-Whareora,1,Northland Region,2,Whangarei District
501818,Parua Bay,1,Northland Region,2,Whangarei District
501819,Bream Head,1,Northland Region,2,Whangarei District
502001,Springs Flat,1,Northland Region,2,Whangarei District
502002,Three Mile Bush,1,Northland Region,2,Whangarei District
502003,Te Hihi,1,Northland Region,2,Whangarei District
502004,Abbey Caves,1,Northland Region,2,Whangarei District
502005,Otaika-Portland,1,Northland Region,2,Whangarei District
502101,Kamo West,1,Northland Region,2,Whangarei District
502102,Kamo East,1,Northland Region,2,Whangarei District
502201,Tikipunga West,1,Northland Region,2,Whangarei District
502202,Tikipunga East,1,Northland Region,2,Whangarei District
502300,Whau Valley,1,Northland Region,2,Whangarei District
502400,Otangarei,1,Northland Region,2,Whangarei District
502500,Western Hills,1,Northland Region,2,Whangarei District
502600,Kensington,1,Northland Region,2,Whangarei District
502700,Mairtown,1,Northland Region,2,Whangarei District
502800,Regent,1,Northland Region,2,Whangarei District
502900,Woodhill,1,Northland Region,2,Whangarei District
503000,Vinetown,1,Northland Region,2,Whangarei District
503100,Whangarei Central,1,Northland Region,2,Whangarei District
503200,Riverside,1,Northland Region,2,Whangarei District
503300,Horahora,1,Northland Region,2,Whangarei District
503400,Maunu,1,Northland Region,2,Whangarei District
503500,Raumanga East,1,Northland Region,2,Whangarei District
503600,Morningside,1,Northland Region,2,Whangarei District
503700,Parahaki,1,Northland Region,2,Whangarei District
503800,Raumanga West,1,Northland Region,2,Whangarei District
503900,Port-Limeburners,1,Northland Region,2,Whangarei District
504000,Sherwood Rise,1,Northland Region,2,Whangarei District
504100,Onerahi,1,Northland Region,2,Whangarei District
504300,Hikurangi,1,Northland Region,2,Whangarei District
504400,Te Kopuru,1,Northland Region,3,Kaipara District
504501,Kaipara Coastal,1,Northland Region,3,Kaipara District
504502,Maungaru,1,Northland Region,3,Kaipara District
504600,Dargaville,1,Northland Region,3,Kaipara District
504700,Maungaturoto,1,Northland Region,3,Kaipara District
504800,Ruawai,1,Northland Region,3,Kaipara District
504900,Kaiwaka,1,Northland Region,3,Kaipara District
505010,Rehia-Oneriri,1,Northland Region,3,Kaipara District
505021,Mangawhai,1,Northland Region,3,Kaipara District
505022,Mangawhai Heads,1,Northland Region,3,Kaipara District
505300,Wellsford,2,Auckland Region,76,Auckland
505400,Leigh,2,Auckland Region,76,Auckland
505500,Warkworth,2,Auckland Region,76,Auckland
505601,Waimauku,2,Auckland Region,76,Auckland
