year,ur_lma,ur_sub_lma,wp_lma,wp_sub_lma,flow
2001,1,1,1,1,2787
2001,1,1,1,2,45
2001,1,1,1,5,6
2001,1,1,1,7,12
2001,1,1,1,10,15
2001,1,1,2,5,33
2001,1,2,1,1,426
2001,1,2,1,2,915
2001,1,2,1,4,9
2001,1,2,1,7,9
2001,1,2,1,10,9
2001,1,2,2,5,9
2001,1,3,1,1,36
2001,1,3,1,3,84
2001,1,4,1,1,9
2001,1,4,1,2,27
2001,1,4,1,4,594
2001,1,4,1,7,138
2001,1,4,1,8,9
2001,1,4,1,9,6
2001,1,4,1,10,18
2001,1,4,2,5,12
2001,1,5,1,1,33
2001,1,5,1,2,6
2001,1,5,1,5,321
2001,1,5,1,6,21
2001,1,5,1,7,12
2001,1,5,1,10,18
2001,1,6,1,6,594
2001,1,6,1,7,18
2001,1,6,1,8,6
2001,1,6,1,10,111
2001,1,6,2,5,9
2001,1,7,1,1,12
2001,1,7,1,2,6
2001,1,7,1,4,78
2001,1,7,1,6,6
2001,1,7,1,7,2940
2001,1,7,1,8,111
2001,1,7,1,9,171
2001,1,7,1,10,228
2001,1,7,2,5,51
2001,1,8,1,1,6
2001,1,8,1,7,75
2001,1,8,1,8,1296
2001,1,8,1,9,138
2001,1,8,1,10,51
2001,1,8,2,1,12
2001,1,8,2,3,9
2001,1,8,2,5,63
2001,1,9,1,7,132
2001,1,9,1,8,90
2001,1,9,1,9,783
2001,1,9,1,10,39
2001,1,9,2,5,15
2001,1,10,1,1,9
2001,1,10,1,4,6
2001,1,10,1,6,21
2001,1,10,1,7,114
2001,1,10,1,8,108
2001,1,10,1,9,36
2001,1,10,1,10,1530
2001,1,10,2,5,27
2001,2,1,1,8,6
2001,2,1,2,1,711
2001,2,1,2,2,12
2001,2,1,2,3,9
2001,2,1,2,4,18
2001,2,1,2,5,681
2001,2,2,2,2,1401
2001,2,2,2,4,30
2001,2,2,2,5,474
2001,2,2,2,6,6
2001,2,2,2,7,48
2001,2,2,2,8,6
2001,2,2,3,2,9
2001,2,2,3,3,9
2001,2,2,3,4,15
2001,2,3,1,8,6
2001,2,3,2,1,24
2001,2,3,2,2,21
2001,2,3,2,3,702
2001,2,3,2,4,6
2001,2,3,2,5,771
2001,2,3,3,2,9
2001,2,4,2,1,24
2001,2,4,2,2,33
2001,2,4,2,4,660
2001,2,4,2,5,741
2001,2,4,2,6,15
2001,2,5,1,1,24
2001,2,5,1,4,9
2001,2,5,1,7,15
2001,2,5,1,8,42
2001,2,5,1,9,9
2001,2,5,1,10,21
2001,2,5,2,1,132
2001,2,5,2,2,282
2001,2,5,2,3,105
2001,2,5,2,4,99
2001,2,5,2,5,14481
2001,2,5,2,6,78
2001,2,5,2,7,21
2001,2,5,2,8,12
2001,2,5,3,1,21
2001,2,5,3,2,45
2001,2,5,3,3,72
2001,2,5,3,4,51
2001,2,6,1,1,6
2001,2,6,1,10,9
2001,2,6,2,1,6
2001,2,6,2,4,6
2001,2,6,2,5,120
2001,2,6,2,6,3198
2001,2,6,2,7,33
2001,2,6,2,8,6
2001,2,6,3,2,12
